2019/04/06 17:35:16.199893 lucky, uid=-1, code=3, gift=1, name=富强福, link=, data=富强福.jpg 
2019/04/06 17:35:17.614957 lucky, uid=-1, code=7, gift=2, name=和谐福, link=, data=和谐福.jpg 
2019/04/06 17:35:18.131449 lucky, uid=-1, code=9, gift=3, name=友善福, link=, data=友善福.jpg 
2019/04/06 17:35:18.572792 lucky, uid=-1, code=6, gift=2, name=和谐福, link=, data=和谐福.jpg 
2019/04/06 17:35:18.898438 lucky, uid=-1, code=5, gift=2, name=和谐福, link=, data=和谐福.jpg 
2019/04/06 17:35:19.277948 lucky, uid=-1, code=7, gift=2, name=和谐福, link=, data=和谐福.jpg 
2019/04/06 17:35:19.724023 lucky, uid=-1, code=9, gift=3, name=友善福, link=, data=友善福.jpg 
2019/04/06 17:35:20.075089 lucky, uid=-1, code=6, gift=2, name=和谐福, link=, data=和谐福.jpg 
2019/04/06 17:35:20.418596 lucky, uid=-1, code=4, gift=1, name=富强福, link=, data=富强福.jpg 
2019/04/06 17:35:20.738941 lucky, uid=-1, code=5, gift=2, name=和谐福, link=, data=和谐福.jpg 
2019/04/06 17:35:20.986629 lucky, uid=-1, code=5, gift=2, name=和谐福, link=, data=和谐福.jpg 
2019/04/06 17:35:21.252808 lucky, uid=-1, code=0, gift=1, name=富强福, link=, data=富强福.jpg 
2019/04/06 17:35:21.467697 lucky, uid=-1, code=4, gift=1, name=富强福, link=, data=富强福.jpg 
2019/04/06 17:35:21.641813 lucky, uid=-1, code=6, gift=2, name=和谐福, link=, data=和谐福.jpg 
2019/04/06 17:35:21.869122 lucky, uid=-1, code=1, gift=1, name=富强福, link=, data=富强福.jpg 
2019/04/06 17:35:22.066143 lucky, uid=-1, code=7, gift=2, name=和谐福, link=, data=和谐福.jpg 
2019/04/06 17:35:22.210584 lucky, uid=-1, code=8, gift=3, name=友善福, link=, data=友善福.jpg 
2019/04/06 17:35:22.573086 lucky, uid=-1, code=0, gift=1, name=富强福, link=, data=富强福.jpg 
2019/04/06 17:35:22.620384 lucky, uid=-1, code=3, gift=1, name=富强福, link=, data=富强福.jpg 
