2019/04/06 17:17:12.076179 lucky, code=6833, gift=4, name=商城无门槛直降50元优惠券, link=, data=c05, left=4 
2019/04/06 17:17:13.227825 lucky, code=2483, gift=3, name=商城满2000元减50元优惠券, link=, data=mall-coupon-2018, left=4 
2019/04/06 17:17:13.678277 lucky, code=9739, gift=5, name=社区10个金币, link=, data=10, left=4 
2019/04/06 17:17:14.036657 lucky, code=8690, gift=5, name=社区10个金币, link=, data=10, left=3 
2019/04/06 17:17:14.524677 lucky, code=5140, gift=4, name=商城无门槛直降50元优惠券, link=, data=c04, left=3 
2019/04/06 17:17:14.875801 lucky, code=8399, gift=5, name=社区10个金币, link=, data=10, left=2 
2019/04/06 17:17:15.279904 lucky, code=3439, gift=3, name=商城满2000元减50元优惠券, link=, data=mall-coupon-2018, left=3 
2019/04/06 17:17:15.652952 lucky, code=5907, gift=4, name=商城无门槛直降50元优惠券, link=, data=c03, left=2 
2019/04/06 17:17:16.043863 lucky, code=2270, gift=3, name=商城满2000元减50元优惠券, link=, data=mall-coupon-2018, left=2 
2019/04/06 17:17:16.411897 lucky, code=8829, gift=5, name=社区10个金币, link=, data=10, left=1 
2019/04/06 17:17:16.700539 lucky, code=392, gift=3, name=商城满2000元减50元优惠券, link=, data=mall-coupon-2018, left=1 
2019/04/06 17:17:17.002936 lucky, code=3546, gift=3, name=商城满2000元减50元优惠券, link=, data=mall-coupon-2018, left=0 
2019/04/06 17:17:17.651273 lucky, code=5823, gift=4, name=商城无门槛直降50元优惠券, link=, data=c02, left=1 
2019/04/06 17:17:18.411548 lucky, code=9064, gift=5, name=社区10个金币, link=, data=10, left=0 
2019/04/06 17:17:30.579680 lucky, code=5629, gift=4, name=商城无门槛直降50元优惠券, link=, data=c01, left=0 
